repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
Tehes/wortsel,1,0.1098,0.0,0.11,0.1098,0.1098,0.1098,0.1098,0.1098,0
analyticsjs/git-commit-analytics,36,0.0147,0.0723,0.0,0.0005,0.0015,0.0001,0.4405,0.5302,35
vekvoid/UserScripts,15,15.7584,28.9771,0.75,3.3526,14.4073,0.0064,117.3059,236.3754,3
RCgmbh/PiLot,11,20.7706,57.9178,0.0,0.0537,2.1474,0.0002,202.7705,228.4762,5
cyco130/eslint-config,32,20.0692,24.5182,1.54,13.3348,24.3765,0.0012,105.4055,642.2148,2
christophehurpeau/pob-monorepo-test-repository,381,12.6605,33.1776,0.0,0.0007,0.5385,0.0001,275.9627,4823.6575,277
ilyhalight/voice-over-translation,862,23.3302,77.5998,0.11,0.7174,9.9982,0.0,1058.3619,20110.5943,133
christianwgd/cal,7,0.3509,0.1763,0.09,0.449,0.509,0.084,0.5193,2.4561,0
quaric/zadark,178,1.7619,6.7989,0.0,0.0002,0.1269,0.0001,57.9487,313.6209,122
jackweatherford/spotify-friend-activity,35,4.5867,11.5772,0.43,1.527,3.7551,0.0008,69.6486,160.5352,2
vitejs/docs-es,1001,13.4818,19.7935,1.48,4.5644,17.4387,0.0001,247.7685,13495.2472,26
traceypooh/blogtini,24,23.7735,113.5239,0.0,0.0112,0.3612,0.0003,568.2147,570.5633,16
chamhayden/eckles,45,56.9387,119.9452,0.02,0.5355,12.445,0.0003,336.4876,2562.2393,12
b4bjw123/Warzone-generator,1,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,1
DenisYaroshevskiy/presentations,22,0.0003,0.0005,0.0,0.0001,0.0002,0.0001,0.0021,0.0064,22
Leidwesen/SearchPhrases,5,135.0864,213.1513,3.53,33.1044,81.0628,0.3027,557.4311,675.4318,0
zMoooooritz/imageframe,31,24.6612,91.8376,0.0,0.0002,0.0024,0.0,374.9958,764.498,24
thegoobs/3nations-bingo,1,0.0015,0.0,0.0,0.0015,0.0015,0.0015,0.0015,0.0015,1
react-ui-org/docoff,34,17.1663,32.6784,0.28,3.4145,16.3091,0.0001,119.1166,583.6554,4
CcSimple/electron-hiprint,43,23.5949,76.2527,0.0,0.0977,8.7721,0.0001,449.7382,1014.5798,19
namelivia/vue-currentuser,112,1.0624,2.8042,0.0,0.0035,1.2513,0.0001,22.7509,118.9866,63
