repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
jmugliston/putio-downloader,57,2.3809,3.5663,0.05,0.7419,2.0982,0.0001,11.0737,135.7114,13
adobe/helix-mediahandler,271,1.1429,13.6433,0.08,0.1094,0.1595,0.0002,224.9575,309.7382,37
exercism/wasm,128,17.6428,62.3992,0.25,2.2697,6.8621,0.0002,630.3012,2258.2759,23
adobe/helix-sidekick-extension,792,18.7441,65.8347,0.13,1.1839,7.8035,0.0001,694.7618,14845.2882,60
BrightspaceUI/labs,484,2.199,26.3855,0.0,0.0014,0.016,0.0003,568.0171,1064.3109,390
cl4cnam/funcSug,21,0.0009,0.0006,0.0,0.0007,0.0011,0.0002,0.0031,0.0179,21
VincentJuge1987/VincentJuge1987.github.io,1,712.2888,0.0,712.29,712.2888,712.2888,712.2888,712.2888,712.2888,0
duckduckgo/content-scope-scripts,1325,10.3254,44.4498,0.14,1.026,5.1901,0.0001,619.8787,13681.1036,223
usdigitalresponse/usdr-gost,3493,13.8169,49.3962,0.01,0.0264,3.7126,0.0001,868.9608,48262.5717,1830
arlac77/content-entry-transform,801,0.1082,0.2688,0.01,0.0304,0.0843,0.0,3.0983,86.6353,467
mits-gossau/web-components-toolbox,402,2.0422,9.3563,0.0,0.015,0.7369,0.0,130.0589,820.9529,233
nfigay/ArchiCG,7,3.3408,3.0966,0.09,3.0023,6.8325,0.0002,6.9843,23.3854,1
DEFRA/ffc-pay-request-editor,122,12.4198,48.2798,0.94,2.765,7.6861,0.0002,514.0905,1515.2108,12
jaywcjlove/github-action-contributors,23,62.7113,66.8553,5.45,28.2252,133.6929,0.0004,211.6309,1442.3595,3
simoneb/github-ensure-file,326,3.1168,14.0349,0.0,0.0004,0.0005,0.0001,133.9821,1016.0786,285
