repository,issues_analyzed,mean_days,std_dev_days,p25_days,median_days,p75_days,min_days,max_days,total_days,fast_resolutions
orangecoding/fredy,13,17.0648,33.3599,0.0,4.745,11.2453,0.0002,124.6295,221.842,5
tandrewnichols/grunt-simple-nyc,7,10.6377,10.8493,2.58,4.1792,26.9971,0.0016,27.2318,74.4639,1
mansdahlstrom1/hass,1,426.9828,0.0,426.98,426.9828,426.9828,426.9828,426.9828,426.9828,0
fnproject/fdk-node,26,17.0674,61.5946,0.06,0.8011,9.803,0.0015,323.1273,443.7519,5
IAmAnubhavSaini/find-this-value,2,0.0009,0.0001,0.0,0.001,0.001,0.0008,0.001,0.0019,2
idsia-robotics/idsia-robotics.github.io,3,0.0059,0.0058,0.0,0.0018,0.014,0.0017,0.014,0.0176,3
jaywcjlove/oscnews,25,60.023,83.3687,0.14,14.9745,98.2264,0.0015,259.6454,1500.5747,4
OSU-AI-Club/OSU-AI-Club.github.io,51,4.2625,30.0495,0.0,0.0001,0.0002,0.0,216.7442,217.3891,46
screwdriver-cd/notifications-slack,39,10.6427,54.3355,0.08,0.7273,2.2227,0.0002,344.9444,415.066,8
johnluffa/hello-world,7,0.0011,0.0017,0.0,0.0001,0.0016,0.0001,0.005,0.0074,7
arthurimirzian/salesforce-jwt-bearer-token-flow,5,11.4899,16.8179,0.67,2.0572,10.4286,0.01,44.2815,57.4496,1
bywatersolutions/koha-plugin-cloudlibrary,5,65.4566,81.869,0.0,0.3532,136.1206,0.0012,190.8049,327.283,2
TNG/karma-child-process,2,17.0098,0.0005,17.01,17.0103,17.0103,17.0092,17.0103,34.0196,0
DFE-Digital/login.dfe.sanitization,4,0.0114,0.0129,0.0,0.0045,0.0338,0.0032,0.0338,0.0457,4
amadeus4dev/amadeus-node,91,29.0931,62.9945,0.36,2.7952,29.4277,0.0001,380.901,2647.4684,16
7c/telegraf-metrix-node,1,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,1
nci-hcmi-catalog/portal,791,30.9729,92.1393,0.02,3.6794,25.2246,0.0001,779.0017,24499.5997,222
stellarguard/stellarguard,23,52.6792,81.6677,0.01,3.269,61.3612,0.0002,352.3257,1211.6215,7
flespi-software/flespi-io-js,5,22.76,40.475,0.87,2.8082,6.4621,0.0737,103.5897,113.7999,0
webdriverio-community/wdio-docker-service,90,7.2784,23.8074,0.0,0.2588,2.7177,0.0001,162.8151,655.0581,38
joue-quroi/spoof-timezone,6,54.016,67.3862,4.08,16.7358,118.8156,0.0969,173.8607,324.0957,0
lucascantor/blog.lucascantor.com,22,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0011,0.0032,22
yyx990803/launch-editor,10,56.9289,98.8453,0.4,4.3121,51.4897,0.1017,253.195,569.2891,0
discourse-lab/Connective-Lex.info,3,0.0001,0.0001,0.0,0.0001,0.0003,0.0001,0.0003,0.0004,3
yanagiragi/SubscriptionsWeb,3,0.4102,0.4994,0.0,0.1174,1.1131,0.0001,1.1131,1.2306,1
Prozi/pixi-shim,10,82.9085,118.8832,9.7,46.2501,89.1591,0.0564,424.7002,829.085,0
sunwu51/notebook,2,1.4213,0.7192,0.7,2.1406,2.1406,0.7021,2.1406,2.8427,0
TCNOco/TcNo-Steam-Card-Assistant,1,88.9142,0.0,88.91,88.9142,88.9142,88.9142,88.9142,88.9142,0
Esri/arcade-expressions,30,35.6028,79.4507,0.41,2.0165,7.7097,0.0002,292.064,1068.0838,5
gkjohnson/urdf-loaders,160,43.2031,117.9168,0.48,3.5769,19.9704,0.0,835.0978,6912.5012,19
corygibbons/react-file-icon,14,14.4984,34.9602,0.05,0.2772,6.9862,0.0011,134.0132,202.9782,3
vinsonchuong/puppet-strings,23,158.6302,151.5059,16.08,116.9346,251.6623,0.0002,479.8002,3648.4953,1
vinsonchuong/passing-notes,17,78.1894,94.78,11.97,53.8385,90.272,0.0164,326.7753,1329.2199,2
ShowingCloud/Nashira,5,1.2154,2.2028,0.01,0.0218,0.4345,0.0008,5.6087,6.0772,3
ShowingCloud/Dabih,6,1.4635,1.5613,0.16,1.6497,2.0059,0.002,4.5296,8.7813,1
datamade/bga-payroll,438,62.294,158.6583,0.05,3.997,26.2237,0.0001,748.7352,27284.7516,109
xemuliam/misc,1,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0002,0.0002,1
energydrink9/functional-data-grid,23,13.893,34.7037,0.03,0.7254,7.2322,0.0014,134.8486,319.5381,6
y13i/cfn-schema,192,2.9079,12.579,0.0,0.0004,0.0762,0.0,107.5289,558.3245,139
IonicaBizau/vignere-babbage-cipher,6,0.0001,0.0001,0.0,0.0002,0.0002,0.0001,0.0003,0.0009,6
IonicaBizau/videomost,4,13.2081,22.8769,0.0,0.0001,52.832,0.0001,52.832,52.8323,3
IonicaBizau/msdos-editor,5,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0004,5
scott113341/group-sms,7,18.0458,42.3804,0.05,0.0521,4.1734,0.0461,121.7983,126.3209,0
reneghosh/reneghosh.github.io,2,0.001,0.0002,0.0,0.0011,0.0011,0.0008,0.0011,0.0019,2
onechiporenko/ember-bootstrap-modals-manager,27,5.3734,15.497,0.06,0.7113,2.7839,0.0001,79.5775,145.0831,5
Linaro/lkft-website,281,6.0226,34.2475,0.0,0.0126,0.8519,0.0003,434.8536,1692.3641,160
NeoResearch/neocompiler-eco,84,23.2701,61.3,0.12,0.8348,14.978,0.0001,404.1006,1954.6854,17
ebaauw/homebridge-music,20,19.967,38.0282,1.25,8.025,21.1556,0.0048,173.155,399.3397,2
lesteve/userscripts,2,20.3128,20.2776,0.04,40.5905,40.5905,0.0352,40.5905,40.6257,1
honeycombio/beeline-nodejs,195,30.3119,98.3414,0.16,1.562,12.004,0.0002,834.3316,5910.826,23
belachkar/nodekb,2,30.8222,26.9457,3.88,57.7679,57.7679,3.8766,57.7679,61.6445,0
pageboard/client,56,125.6589,162.6719,2.95,28.0262,327.1769,0.0006,485.1156,7036.8999,4
TwoStoryRobot/eslint-config,22,13.8543,33.6546,0.0,0.2394,10.7375,0.0001,148.9019,304.7937,8
Merkoba/Huebot,2,0.1046,0.1028,0.0,0.2074,0.2074,0.0017,0.2074,0.2092,1
tvanro/prerender-alpine,7,1.7711,2.4758,0.04,0.9966,1.8451,0.0012,7.6618,12.3978,1
