projectName,criticalSeverityCount,highSeverityCount,mediumSeverityCount,lowSeverityCount,totalVulnerabilities,numberOfIssuesRelatedToConsistentCode,numberOfIssuesRelatedToIntentionalCode,numberOfIssuesRelatedToAdaptableCode,numberOfIssuesRelatedToResponsibleCode,numberOfBugs,numberOfCodeSmells,full_name,html_url,description,language,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,license,topics,totalTimeNeededToRemoveDebts_mins
emporniumuserscripts,0,0,0,0,0,2,97,1,0,1,99,ehfraim/emporniumuserscripts,https://github.com/ehfraim/emporniumuserscripts,Various browser user scripts for empornium,JavaScript,2018-01-25T15:37:51Z,2025-03-06T14:35:55Z,2025-03-06T14:35:52Z,11,1,0,,[],679
eth-crypto,0,0,0,0,0,0,16,11,0,5,22,pubkey/eth-crypto,https://github.com/pubkey/eth-crypto,Cryptographic javascript-functions for ethereum and tutorials to use them with web3js and solidity,JavaScript,2018-01-21T20:02:28Z,2025-03-11T23:24:45Z,2025-03-11T23:24:54Z,899,161,2,MIT License,"['blockchain', 'cipher', 'dapp', 'encryption', 'eth', 'ethereum', 'ethereum-identity', 'privatekey', 'publickey', 'sign', 'sign-data', 'signature', 'signtransaction', 'smart-contracts', 'solidity', 'transaction', 'truffle', 'tutorial', 'web3', 'web3js']",290
ev-church-website,32,126,97,4,259,23,31,0,0,5,49,ev-church-website/ev-church-website,https://github.com/ev-church-website/ev-church-website,,JavaScript,2018-01-14T19:53:55Z,2025-02-27T16:13:51Z,2025-02-27T16:13:48Z,1,0,0,,[],215
explorer,0,0,0,0,0,83,15,2,0,0,100,ooni/explorer,https://github.com/ooni/explorer,OONI Explorer: uncover evidence of internet censorship worldwide,JavaScript,2018-01-25T17:09:24Z,2025-03-17T16:01:00Z,2025-03-17T16:00:56Z,77,38,109,"BSD 3-Clause ""New"" or ""Revised"" License","['frontend', 'hacktoberfest', 'next-js', 'ooni', 'react-js']",451
fastify-citgm,0,0,0,0,0,0,4,0,0,0,4,fastify/fastify-citgm,https://github.com/fastify/fastify-citgm,CITGM for Fastify,JavaScript,2018-01-06T14:38:52Z,2025-03-07T19:17:43Z,2025-03-07T19:18:48Z,3,2,0,MIT License,[],17
fdk-node,4,14,12,1,31,6,2,2,0,0,10,fnproject/fdk-node,https://github.com/fnproject/fdk-node,Experimental FDK for Node.js,JavaScript,2018-01-17T19:29:33Z,2025-02-21T11:15:53Z,2025-02-21T11:15:55Z,23,12,14,Apache License 2.0,[],100
find-this-value,0,5,0,0,5,0,4,0,0,0,4,IAmAnubhavSaini/find-this-value,https://github.com/IAmAnubhavSaini/find-this-value,Find a value in a given object with programmable matching logic - node module,JavaScript,2018-01-19T19:53:55Z,2025-02-21T10:10:22Z,2025-02-21T10:10:19Z,3,2,0,MIT License,[],20
firefox-extensions,0,0,0,0,0,1,33,0,0,2,32,aenon/firefox-extensions,https://github.com/aenon/firefox-extensions,Firefox extensions and user styles,JavaScript,2018-01-04T19:00:44Z,2025-02-24T10:52:26Z,2025-02-24T08:28:58Z,4,0,2,,[],158
flespi-io-js,15,95,77,2,189,12,66,11,0,4,85,flespi-software/flespi-io-js,https://github.com/flespi-software/flespi-io-js,flespi-io-js is a library for connecting to flespi.io via http and mqtt protocols.,JavaScript,2018-01-29T08:34:49Z,2025-02-18T12:25:33Z,2025-02-18T12:26:02Z,11,6,13,MIT License,"['flespi', 'http', 'js', 'library', 'mqtt', 'mqtt-protocol']",604
fluid,0,0,0,0,0,18,68,14,0,10,90,explorable-viz/fluid,https://github.com/explorable-viz/fluid,Data-linked visualisations,JavaScript,2018-01-23T19:54:53Z,2025-03-17T12:38:56Z,2025-03-17T16:48:28Z,39,4,111,MIT License,"['data-visualization', 'dependency-analysis', 'open-science', 'program-slicing', 'provenance']",515
forte-table,0,0,0,0,0,72,28,0,0,3,97,mdefaux/forte-table,https://github.com/mdefaux/forte-table,A React table management library.,JavaScript,2018-01-28T17:33:39Z,2025-03-13T15:36:36Z,2025-03-13T15:36:31Z,2,2,2,Apache License 2.0,[],489
fosskers.ca,0,0,0,0,0,24,0,0,0,0,24,fosskers/fosskers.ca,https://github.com/fosskers/fosskers.ca,My personal site.,JavaScript,2018-01-25T04:42:34Z,2025-02-24T06:27:55Z,2025-02-24T06:27:51Z,9,3,0,"BSD 3-Clause ""New"" or ""Revised"" License","['blog', 'haskell', 'rss', 'rust']",120
